,Symbol,Security
233,HON,Honeywell
234,HRL,Hormel Foods
235,HST,Host Hotels & Resorts
236,HWM,Howmet Aerospace
237,HPQ,HP Inc.
238,HUBB,Hubbell Incorporated
239,HUM,Humana
240,HBAN,Huntington Bancshares
241,HII,Huntington Ingalls Industries
242,IBM,IBM
243,IEX,IDEX Corporation
244,IDXX,Idexx Laboratories
245,ITW,Illinois Tool Works
246,INCY,Incyte
247,IR,Ingersoll Rand
248,PODD,Insulet Corporation
249,INTC,Intel
250,IBKR,Interactive Brokers
251,ICE,Intercontinental Exchange
252,IFF,International Flavors & Fragrances
253,IP,International Paper
254,IPG,Interpublic Group of Companies (The)
255,INTU,Intuit
256,ISRG,Intuitive Surgical
257,IVZ,Invesco
258,INVH,Invitation Homes
259,IQV,IQVIA
260,IRM,Iron Mountain
261,JBHT,J.B. Hunt
262,JBL,Jabil
263,JKHY,Jack Henry & Associates
264,J,Jacobs Solutions
265,JNJ,Johnson & Johnson
266,JCI,Johnson Controls
267,JPM,JPMorgan Chase
268,K,Kellanova
269,KVUE,Kenvue
270,KDP,Keurig Dr Pepper
271,KEY,KeyCorp
272,KEYS,Keysight Technologies
273,KMB,Kimberly-Clark
274,KIM,Kimco Realty
275,KMI,Kinder Morgan
276,KKR,KKR & Co.
277,KLAC,KLA Corporation
278,KHC,Kraft Heinz
279,KR,Kroger
280,LHX,L3Harris
281,LH,Labcorp
282,LRCX,Lam Research
283,LW,Lamb Weston
284,LVS,Las Vegas Sands
285,LDOS,Leidos
286,LEN,Lennar
287,LII,Lennox International
288,LLY,Lilly (Eli)
289,LIN,Linde plc
290,LYV,Live Nation Entertainment
291,LKQ,LKQ Corporation
292,LMT,Lockheed Martin
293,L,Loews Corporation
294,LOW,Lowe's
295,LULU,Lululemon Athletica
296,LYB,LyondellBasell
297,MTB,M&T Bank
298,MPC,Marathon Petroleum
299,MAR,Marriott International
300,MMC,Marsh McLennan
301,MLM,Martin Marietta Materials
302,MAS,Masco
303,MA,Mastercard
304,MTCH,Match Group
305,MKC,McCormick & Company
306,MCD,McDonald's
307,MCK,McKesson Corporation
308,MDT,Medtronic
309,MRK,Merck & Co.
310,META,Meta Platforms
311,MET,MetLife
312,MTD,Mettler Toledo
313,MGM,MGM Resorts
314,MCHP,Microchip Technology
315,MU,Micron Technology
316,MSFT,Microsoft
317,MAA,Mid-America Apartment Communities
318,MRNA,Moderna
319,MHK,Mohawk Industries
320,MOH,Molina Healthcare
321,TAP,Molson Coors Beverage Company
322,MDLZ,Mondelez International
323,MPWR,Monolithic Power Systems
324,MNST,Monster Beverage
325,MCO,Moody's Corporation
326,MS,Morgan Stanley
327,MOS,Mosaic Company (The)
328,MSI,Motorola Solutions
329,MSCI,MSCI Inc.
330,NDAQ,"Nasdaq, Inc."
331,NTAP,NetApp
332,NFLX,Netflix
333,NEM,Newmont
334,NWSA,News Corp (Class A)
335,NWS,News Corp (Class B)
336,NEE,NextEra Energy
337,NKE,"Nike, Inc."
338,NI,NiSource
339,NDSN,Nordson Corporation
340,NSC,Norfolk Southern
341,NTRS,Northern Trust
342,NOC,Northrop Grumman
343,NCLH,Norwegian Cruise Line Holdings
344,NRG,NRG Energy
345,NUE,Nucor
346,NVDA,Nvidia
347,NVR,"NVR, Inc."
348,NXPI,NXP Semiconductors
349,ORLY,OâReilly Automotive
350,OXY,Occidental Petroleum
351,ODFL,Old Dominion
352,OMC,Omnicom Group
353,ON,ON Semiconductor
354,OKE,Oneok
355,ORCL,Oracle Corporation
356,OTIS,Otis Worldwide
357,PCAR,Paccar
358,PKG,Packaging Corporation of America
359,PLTR,Palantir Technologies
360,PANW,Palo Alto Networks
361,PSKY,Paramount Skydance Corporation
362,PH,Parker Hannifin
363,PAYX,Paychex
364,PAYC,Paycom
365,PYPL,PayPal
366,PNR,Pentair
367,PEP,PepsiCo
